"LAW_CD","EMD_CD","GU_NM","LAW_NM"
"1154510100","11545101",금천구,가산동
"1154510200","11545102",금천구,독산동
"1154510300","11545103",금천구,시흥동
"1156010100","11560101",영등포구,영등포동
"1156010200","11560102",영등포구,영등포동1가
"1156010300","11560103",영등포구,영등포동2가
"1156010400","11560104",영등포구,영등포동3가
"1156010500","11560105",영등포구,영등포동4가
"1156010600","11560106",영등포구,영등포동5가
"1156010700","11560107",영등포구,영등포동6가
"1156010800","11560108",영등포구,영등포동7가
"1156010900","11560109",영등포구,영등포동8가
"1156011000","11560110",영등포구,여의도동
"1156011100","11560111",영등포구,당산동1가
"1156011200","11560112",영등포구,당산동2가
"1156011300","11560113",영등포구,당산동3가
"1156011400","11560114",영등포구,당산동4가
"1156011500","11560115",영등포구,당산동5가
"1156011600","11560116",영등포구,당산동6가
"1156011700","11560117",영등포구,당산동
"1156011800","11560118",영등포구,도림동
"1156011900","11560119",영등포구,문래동1가
"1156012000","11560120",영등포구,문래동2가
"1156012100","11560121",영등포구,문래동3가
"1156012200","11560122",영등포구,문래동4가
"1156012300","11560123",영등포구,문래동5가
"1156012400","11560124",영등포구,문래동6가
"1156012500","11560125",영등포구,양평동1가
"1156012600","11560126",영등포구,양평동2가
"1156012700","11560127",영등포구,양평동3가
"1156012800","11560128",영등포구,양평동4가
"1156012900","11560129",영등포구,양평동5가
"1156013000","11560130",영등포구,양평동6가
"1156013100","11560131",영등포구,양화동
"1156013200","11560132",영등포구,신길동
"1156013300","11560133",영등포구,대림동
"1156013400","11560134",영등포구,양평동
"1159010100","11590101",동작구,노량진동
"1159010200","11590102",동작구,상도동
"1159010300","11590103",동작구,상도1동
"1159010400","11590104",동작구,본동
"1159010500","11590105",동작구,흑석동
"1159010600","11590106",동작구,동작동
"1159010700","11590107",동작구,사당동
"1159010800","11590108",동작구,대방동
"1159010900","11590109",동작구,신대방동
"1162010100","11620101",관악구,봉천동
"1162010200","11620102",관악구,신림동
"1162010300","11620103",관악구,남현동
"1165010100","11650101",서초구,방배동
"1165010200","11650102",서초구,양재동
"1165010300","11650103",서초구,우면동
"1165010400","11650104",서초구,원지동
"1165010600","11650106",서초구,잠원동
"1165010700","11650107",서초구,반포동
"1165010800","11650108",서초구,서초동
"1165010900","11650109",서초구,내곡동
"1165011000","11650110",서초구,염곡동
"1165011100","11650111",서초구,신원동
"1168010100","11680101",강남구,역삼동
"1168010300","11680103",강남구,개포동
"1168010400","11680104",강남구,청담동
"1168010500","11680105",강남구,삼성동
"1168010600","11680106",강남구,대치동
"1168010700","11680107",강남구,신사동
"1168010800","11680108",강남구,논현동
"1168011000","11680110",강남구,압구정동
"1168011100","11680111",강남구,세곡동
"1168011200","11680112",강남구,자곡동
"1168011300","11680113",강남구,율현동
"1168011400","11680114",강남구,일원동
"1168011500","11680115",강남구,수서동
"1168011800","11680118",강남구,도곡동
"1171010100","11710101",송파구,잠실동
"1171010200","11710102",송파구,신천동
"1171010300","11710103",송파구,풍납동
"1171010400","11710104",송파구,송파동
"1171010500","11710105",송파구,석촌동
"1171010600","11710106",송파구,삼전동
"1171010700","11710107",송파구,가락동
"1171010800","11710108",송파구,문정동
"1171010900","11710109",송파구,장지동
"1171011100","11710111",송파구,방이동
"1171011200","11710112",송파구,오금동
"1171011300","11710113",송파구,거여동
"1171011400","11710114",송파구,마천동
"1174010100","11740101",강동구,명일동
"1174010200","11740102",강동구,고덕동
"1174010300","11740103",강동구,상일동
"1174010500","11740105",강동구,길동
